"Title","LocaleId","Url","Status","LastContentModifiedDate","Owner","Template","ResourceUsageCurrent","ResourceUsageAverage","StorageUsageCurrentMB","ConditionalAccessPolicy","SensitivityLabel","AllowSelfServiceUpgrade","AllowEditing","SharingAllowedDomainList","SharingBlockedDomainList","DenyAddAndCustomizePages","BlockDownloadLinksFileType","DefaultLinkPermission","DefaultSharingLinkType","DisableAppViews","DisableCompanyWideSharingLinks","DisableFlows","LimitedAccessFileType","LockState","SandboxedCodeActivationCapability","SharingCapability","ShowPeoplePickerSuggestionsForGuestUsers","SharingDomainRestrictionMode","LockIssue","WebsCount","CompatibilityLevel","DisableSharingForNonOwnersStatus","HubSiteId","IsHubSite","RelatedGroupId","GroupId","ORGID"
"10ADr1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ADr1.class.8514303.2023","Active","13/08/2025 12:50:11","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","8aae7d24-4b50-4339-90f9-2d547e0ab629","8aae7d24-4b50-4339-90f9-2d547e0ab629",
"10AGe1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AGe1.class.8514303.2022","Active","13/08/2025 12:51:09","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f100f516-8903-4f61-8178-498e8564f241","f100f516-8903-4f61-8178-498e8564f241",
"10AGe1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AGe1.class.8514303.2024","Active","13/08/2025 12:51:09","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","51c122f1-3d8a-47d2-9b49-8218fd99dfbf","51c122f1-3d8a-47d2-9b49-8218fd99dfbf",
"10AHi1 [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.8514303.2021","Active","15/08/2025 19:04:28","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","b4a7e5b9-78c0-455d-9cee-1473c965356a","b4a7e5b9-78c0-455d-9cee-1473c965356a",
"10AHi1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.class.8514303.2022","Active","13/08/2025 12:59:24","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","8ffed266-e96a-4b4d-9865-a47bfb267420","8ffed266-e96a-4b4d-9865-a47bfb267420",
"10AHi1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.class.8514303.2023","Active","13/08/2025 13:04:57","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f7ad1e16-5978-42ce-90ea-d5c9af000975","f7ad1e16-5978-42ce-90ea-d5c9af000975",
"10AHi1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AHi1.class.8514303.2024","Active","13/08/2025 13:02:56","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","45f78b8d-2239-477a-b6d0-737fd144bd83","45f78b8d-2239-477a-b6d0-737fd144bd83",
"10AIm1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AIm1.class.8514303.2022","Active","13/08/2025 12:51:52","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","0c04c413-423f-4233-b583-0539bf23f837","0c04c413-423f-4233-b583-0539bf23f837",
"10AIm1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AIm1.class.8514303.2023","Active","13/08/2025 12:54:05","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","118a7429-b04a-4f00-b19f-40c67a7faaa5","118a7429-b04a-4f00-b19f-40c67a7faaa5",
"10AIt1 [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AIt1.8514303.2021","Active","15/08/2025 18:55:39","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","4a3f9a59-410e-43b3-a637-859f9d5a98ad","4a3f9a59-410e-43b3-a637-859f9d5a98ad",
"10AMu1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10AMu1.class.8514303.2024","Active","13/08/2025 13:02:56","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","1d9bd575-e355-4687-8519-22e6a029676d","1d9bd575-e355-4687-8519-22e6a029676d",
"10APh1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APh1.class.8514303.2022","Active","13/08/2025 13:04:57","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","9c934969-067e-4d03-a70d-b6f6f4257b19","9c934969-067e-4d03-a70d-b6f6f4257b19",
"10APh1_Class [8514303][2023]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APh1.class.8514303.2023","Active","13/08/2025 12:54:05","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","09785bc1-51b8-41a6-8275-acccdd88f9da","09785bc1-51b8-41a6-8275-acccdd88f9da",
"10APh1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APh1.class.8514303.2024","Active","13/08/2025 12:51:52","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","1248cf0b-b31b-4f13-9ed7-660d754c7b39","1248cf0b-b31b-4f13-9ed7-660d754c7b39",
"10APh2_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APh2.class.8514303.2024","Active","13/08/2025 12:55:52","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","c13cb134-5f7e-469d-8f6f-48114dade3cb","c13cb134-5f7e-469d-8f6f-48114dade3cb",
"10APl_Class [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APl.class.8514303.2021","Active","13/08/2025 13:02:57","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","ce8a6f9a-0329-4f15-ae19-0c9e7994014a","ce8a6f9a-0329-4f15-ae19-0c9e7994014a",
"10APl_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10APl.class.8514303.2022","Active","13/08/2025 12:54:05","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","a4b39bca-897f-4737-8144-ab34d12f75ac","a4b39bca-897f-4737-8144-ab34d12f75ac",
"10ASp1 [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASp1.8514303.2021","Active","17/08/2025 19:16:52","","GROUP#0","0","0","102","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","bf9d4b35-d1c6-46f1-82e5-8a849ecae485","bf9d4b35-d1c6-46f1-82e5-8a849ecae485",
"10ASp1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASp1.class.8514303.2022","Active","13/08/2025 13:04:57","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","cc0c758f-1fb6-4d58-82c5-c86bb5cb735d","cc0c758f-1fb6-4d58-82c5-c86bb5cb735d",
"10ASp1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASp1.class.8514303.2024","Active","13/08/2025 12:55:52","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","4b6c2105-8460-4d24-9dbb-c921fa4b660a","4b6c2105-8460-4d24-9dbb-c921fa4b660a",
"10ASu1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASu1.class.8514303.2022","Active","13/08/2025 13:07:38","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","8218538f-a1f2-449c-a1a0-54214a7b4470","8218538f-a1f2-449c-a1a0-54214a7b4470",
"10ASu1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASu1.class.8514303.2024","Active","13/08/2025 12:55:52","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","97a957cb-36e7-45b6-ac90-941bb0e52c75","97a957cb-36e7-45b6-ac90-941bb0e52c75",
"10ASu2_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ASu2.class.8514303.2022","Active","13/08/2025 12:44:56","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","079cf26f-5dfe-47ab-b7d4-3a487b3b9d2a","079cf26f-5dfe-47ab-b7d4-3a487b3b9d2a",
"10ATt1_Class [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATt1.class.8514303.2021","Active","13/08/2025 12:50:10","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","1d38510c-e378-4684-b732-46d7e3a4415d","1d38510c-e378-4684-b732-46d7e3a4415d",
"10ATt1_Class [8514303][2022]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATt1.class.8514303.2022","Active","13/08/2025 12:46:48","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","79b70bf2-57af-4ba0-9a3a-1c1dfe177e0b","79b70bf2-57af-4ba0-9a3a-1c1dfe177e0b",
"10ATt1_Class [8514303][2024]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATt1.class.8514303.2024","Active","13/08/2025 13:02:56","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","c541df0c-d6ac-46b7-bf9a-43d2e8876f1c","c541df0c-d6ac-46b7-bf9a-43d2e8876f1c",
"10ATx1 [8514303][2021]","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10ATx1.8514303.2021","Active","15/08/2025 20:02:12","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","c8d76e1c-e1bf-48bc-a0eb-2b47b2f0535a","c8d76e1c-e1bf-48bc-a0eb-2b47b2f0535a",
"10B Art (GAD)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10BArtGAD","Active","15/08/2025 19:22:38","","GROUP#0","0","0","226","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","dfe37728-6244-444f-9740-0d6ca9742f58","dfe37728-6244-444f-9740-0d6ca9742f58",
"10B Business (BAT)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10BBusinessBAT","Active","15/08/2025 19:53:14","","GROUP#0","0","0","4","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f1dbdec6-4e62-47b1-b9db-e06aeb8a38be","f1dbdec6-4e62-47b1-b9db-e06aeb8a38be",
"10B Dance (FRN)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10BDanceFRN2","Active","17/08/2025 19:21:04","","GROUP#0","0","0","161","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","f027f039-fdba-4917-ae56-afe32a1b43ad","f027f039-fdba-4917-ae56-afe32a1b43ad",
"10B Food Tech","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10bfoodtech2","Active","17/07/2025 16:12:16","","GROUP#0","0","0","1","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExistingExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","66348648-890c-4f60-b84d-60f68e0b9dae","66348648-890c-4f60-b84d-60f68e0b9dae",
"10B French (PAI)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10BFrenchPAI","Active","15/08/2025 19:43:58","","GROUP#0","0","0","305","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","5961ae8a-4a4b-4356-b773-0d7e7b4b9be9","5961ae8a-4a4b-4356-b773-0d7e7b4b9be9",
"10B History (BAR)","1033","https://mayfieldschoolpo2.sharepoint.com/sites/10BHistoryBAR","Active","17/08/2025 18:55:00","","GROUP#0","0","0","113","AllowFullAccess",,"True","False",,,"Enabled","0","None","None","Unknown","Unknown","Unknown","OfficeOnlineFilesOnly","Unlock","Unknown","ExternalUserSharingOnly","False","None",,"0","15",,"00000000-0000-0000-0000-000000000000","False","6f3a7fda-2506-4d7f-9049-22512e3bb1df","6f3a7fda-2506-4d7f-9049-22512e3bb1df",
