"DisplayName","AccessType","PrimarySmtpAddress","GroupID","SharePointSiteURL"
"10ASu1_Class [8514303][2022]","Private","10ASu1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ASu1.class.8514303.2022"
"10ASu1_Class [8514303][2024]","Private","10ASu1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ASu1.class.8514303.2024"
"10ASu2_Class [8514303][2022]","Private","10ASu2.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ASu2.class.8514303.2022"
"10ATt1_Class [8514303][2021]","Private","10ATt1.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATt1.class.8514303.2021"
"10ATt1_Class [8514303][2022]","Private","10ATt1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATt1.class.8514303.2022"
"10ATt1_Class [8514303][2024]","Private","10ATt1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATt1.class.8514303.2024"
"10ATx1 (AST)","Private","10ATx1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10ATx1.8514303.2021"
"10BAd1_Class [8514303][2022]","Private","10BAd1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BAd1.class.8514303.2022"
"10BAd2_Class [8514303][2022]","Private","10BAd2.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BAd2.class.8514303.2022"
"10BBf1 (BAT)","Private","10BBf1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BBf1.8514303.2021"
"10BBf1_Class [8514303][2022]","Private","10BBf1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BBf1.class.8514303.2022"
"10BBf1_Class [8514303][2024]","Private","10BBf1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BBf1.class.8514303.2024"
"10BCs1 (GOD)","Private","10BCs1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BCs1.8514303.2021"
"10BCs1_Class [8514303][2022]","Private","10BCs1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BCs1.class.8514303.2022"
"10BCs1_Class [8514303][2023]","Private","10BCs1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BCs1.class.8514303.2023"
"10BCz_Class [8514303][2023]","Private","10BCz.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BCz.class.8514303.2023"
"10BDa1 (FRN)","Private","10BDa1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BDa1.8514303.2021"
"10BDa1_Class [8514303][2023]","Private","10BDa1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BDa1.class.8514303.2023"
"10BDa1_Class [8514303][2024]","Private","10BDa1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BDa1.class.8514303.2024"
"10BDr1_Class [8514303][2022]","Private","10BDr1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BDr1.class.8514303.2022"
"10BFr1 (PAI)","Private","10BFr1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BFr1.8514303.2021"
"10BGe1_Class [8514303][2023]","Private","10BGe1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BGe1.class.8514303.2023"
"10BGe1_Class [8514303][2024]","Private","10BGe1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BGe1.class.8514303.2024"
"10BHi1 (RIC)","Private","10BHi1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BHi1.8514303.2021"
"10BHi1_Class [8514303][2022]","Private","10BHi1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BHi1.class.8514303.2022"
"10BHi1_Class [8514303][2023]","Private","10BHi1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BHi1.class.8514303.2023"
"10BHi1_Class [8514303][2024]","Private","10BHi1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BHi1.class.8514303.2024"
"10BIm1_Class [8514303][2022]","Private","10BIm1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BIm1.class.8514303.2022"
"10BPh1 (AST)","Private","10BPh1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BPh1.8514303.2021"
"10BPh1_Class [8514303][2022]","Private","10BPh1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BPh1.class.8514303.2022"
"10BPh1_Class [8514303][2023]","Private","10BPh1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BPh1.class.8514303.2023"
"10BPh1_Class [8514303][2024]","Private","10BPh1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BPh1.class.8514303.2024"
"10BPl_Class [8514303][2021]","Private","10BPl.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BPl.class.8514303.2021"
"10BPl_Class [8514303][2022]","Private","10BPl.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BPl.class.8514303.2022"
"10BRs1_Class [8514303][2023]","Private","10BRs1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BRs1.class.8514303.2023"
"10BRs1_Class [8514303][2024]","Private","10BRs1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BRs1.class.8514303.2024"
"10BSb1_Class [8514303][2024]","Private","10BSb1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BSb1.class.8514303.2024"
"10BSu1 (BRW)","Private","10BSu1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BSu1.8514303.2021"
"10BSu1_Class [8514303][2024]","Private","10BSu1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BSu1.class.8514303.2024"
"10BTt1_Class [8514303][2022]","Private","10BTt1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BTt1.class.8514303.2022"
"10BTx1_Class [8514303][2023]","Private","10BTx1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10BTx1.class.8514303.2023"
"10C Geography 22-24 (TTE)","Private","10C22-24TTE@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10C22-24TTE"
"10CAd1_Class [8514303][2024]","Private","10CAd1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CAd1.class.8514303.2024"
"10CBf1 (BAT)","Private","10CBf1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CBf1.8514303.2021"
"10CBf1_Class [8514303][2022]","Private","10CBf1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CBf1.class.8514303.2022"
"10CBf1_Class [8514303][2023]","Private","10CBf1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CBf1.class.8514303.2023"
"10CBf1_Class [8514303][2024]","Private","10CBf1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CBf1.class.8514303.2024"
"10CCz_Class [8514303][2023]","Private","10CCz.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CCz.class.8514303.2023"
"10CDa1 (TAY)","Private","10CDa1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CDa1.8514303.2021"
"10CDa1_Class [8514303][2022]","Private","10CDa1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CDa1.class.8514303.2022"
"10CDa1_Class [8514303][2023]","Private","10CDa1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CDa1.class.8514303.2023"
"10CDa1_Class [8514303][2024]","Private","10CDa1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CDa1.class.8514303.2024"
"10CDr1_Class [8514303][2022]","Private","10CDr1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CDr1.class.8514303.2022"
"10CDr1_Class [8514303][2023]","Private","10CDr1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CDr1.class.8514303.2023"
"10CGe1_Class [8514303][2021]","Private","10CGe1.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CGe1.class.8514303.2021"
"10CGe1_Class [8514303][2022]","Private","10CGe1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CGe1.class.8514303.2022"
"10CGe1_Class [8514303][2023]","Private","10CGe1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CGe1.class.8514303.2023"
"10CGe1_Class [8514303][2024]","Private","10CGe1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CGe1.class.8514303.2024"
"10CHi1 (CLM)","Private","10CHi1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CHi1.8514303.2021"
"10CHi1_Class [8514303][2022]","Private","10CHi1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CHi1.class.8514303.2022"
"10CHi1_Class [8514303][2023]","Private","10CHi1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CHi1.class.8514303.2023"
"10CHi1_Class [8514303][2024]","Private","10CHi1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CHi1.class.8514303.2024"
"10CIm1_Class [8514303][2022]","Private","10CIm1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CIm1.class.8514303.2022"
"10CMu1_Class [8514303][2022]","Private","10CMu1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CMu1.class.8514303.2022"
"10CPh1 (GAR)","Private","10CPh1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CPh1.8514303.2021"
"10CPl_Class [8514303][2021]","Private","10CPl.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CPl.class.8514303.2021"
"10CPl_Class [8514303][2022]","Private","10CPl.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CPl.class.8514303.2022"
"10CSp1 (TAR)","Private","10CSp1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSp1.8514303.2021"
"10CSp1_Class [8514303][2023]","Private","10CSp1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSp1.class.8514303.2023"
"10CSp1_Class [8514303][2024]","Private","10CSp1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSp1.class.8514303.2024"
"10CSs1_Class [8514303][2024]","Private","10CSs1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSs1.class.8514303.2024"
"10CSu1_Class [8514303][2022]","Private","10CSu1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSu1.class.8514303.2022"
"10CSu1_Class [8514303][2023]","Private","10CSu1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSu1.class.8514303.2023"
"10CSu2_Class [8514303][2023]","Private","10CSu2.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CSu2.class.8514303.2023"
"10CTt1_Class [8514303][2021]","Private","10CTt1.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CTt1.class.8514303.2021"
"10CTt1_Class [8514303][2022]","Private","10CTt1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CTt1.class.8514303.2022"
"10CTt1_Class [8514303][2024]","Private","10CTt1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10CTt1.class.8514303.2024"
"10D Geography 22-24 (SEY)","Private","10DGeography22-24SEY@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DGeography22-24SEY"
"10D/CS1","Private","10DCS1@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DCS1"
"10DAd1_Class [8514303][2024]","Private","10DAd1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DAd1.class.8514303.2024"
"10DBf1_Class [8514303][2022]","Private","10DBf1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DBf1.class.8514303.2022"
"10DBf1_Class [8514303][2023]","Private","10DBf1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DBf1.class.8514303.2023"
"10DBf1_Class [8514303][2024]","Private","10DBf1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DBf1.class.8514303.2024"
"10DBf2_Class [8514303][2022]","Private","10DBf2.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DBf2.class.8514303.2022"
"10DCs1_Class [8514303][2022]","Private","10DCs1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DCs1.class.8514303.2022"
"10DCs1_Class [8514303][2024]","Private","10DCs1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DCs1.class.8514303.2024"
"10DCz_Class [8514303][2023]","Private","10DCz.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DCz.class.8514303.2023"
"10DDa1_Class [8514303][2022]","Private","10DDa1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DDa1.class.8514303.2022"
"10DDr1_Class [8514303][2024]","Private","10DDr1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DDr1.class.8514303.2024"
"10DFr1_Class [8514303][2022]","Private","10DFr1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DFr1.class.8514303.2022"
"10DGe1 (TTE)","Private","10DGe1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DGe1.8514303.2021"
"10DGe1_Class [8514303][2022]","Private","10DGe1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DGe1.class.8514303.2022"
"10DGe1_Class [8514303][2023]","Private","10DGe1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DGe1.class.8514303.2023"
"10DGe1_Class [8514303][2024]","Private","10DGe1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DGe1.class.8514303.2024"
"10DHi1 (JON)","Private","10DHi1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DHi1.8514303.2021"
"10DHi1_Class [8514303][2022]","Private","10DHi1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DHi1.class.8514303.2022"
"10DHi1_Class [8514303][2024]","Private","10DHi1.class.8514303.2024@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DHi1.class.8514303.2024"
"10DIm1_Class [8514303][2023]","Private","10DIm1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DIm1.class.8514303.2023"
"10DIt1 (CLA)","Private","10DIt1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DIt1.8514303.2021"
"10DMu1 (MUL)","Private","10DMu1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DMu1.8514303.2021"
"10DMu1_Class [8514303][2021]","Private","10DMu1.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DMu1.class.8514303.2021"
"10DMu1_Class [8514303][2023]","Private","10DMu1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DMu1.class.8514303.2023"
"10DPl_Class [8514303][2021]","Private","10DPl.class.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DPl.class.8514303.2021"
"10DPl_Class [8514303][2022]","Private","10DPl.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DPl.class.8514303.2022"
"10DRs1_Class [8514303][2023]","Private","10DRs1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DRs1.class.8514303.2023"
"10DSp1 (PAI)","Private","10DSp1.8514303.2021@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DSp1.8514303.2021"
"10DSp1_Class [8514303][2022]","Private","10DSp1.class.8514303.2022@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DSp1.class.8514303.2022"
"10DSp1_Class [8514303][2023]","Private","10DSp1.class.8514303.2023@mayfieldschoolpo2.onmicrosoft.com",,"https://mayfieldschoolpo2.sharepoint.com/sites/10DSp1.class.8514303.2023"
