"DisplayName","Alias","PrimarySmtpAddress","RecipientTypeDetails","ItemCount","TotalItemSizeMB","DeletedItemCount","TotalDeletedItemSizeMB","WhenCreatedUTC","WhenChangedUTC","LastLogonTime","EmailAddresses","Guid"
"Dynamic-Sharks-2a33","msteams_e3cfc6_2243108e-5933-4049-90ac-a638535ca609","msteams_e3cfc6@M365EDU669627.onmicrosoft.com","GroupMailbox","4","0","0","0","09/07/2025 10:38:16","09/08/2025 01:57:57",,"SPO:SPO_0f02dedd-5879-40b0-bcb9-29b521c7e90c@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_e3cfc6@M365EDU669627.onmicrosoft.com","f765f3d2-bab1-4859-86e5-757d2c57543b"
"Engineering 101","Engineering101_12b0daac-13d6-4caa-973c-987463fb555d","Engineering101@M365EDU669627.onmicrosoft.com","GroupMailbox","67","1","0","0","24/06/2025 15:40:58","24/07/2025 23:49:25","24/06/2025 19:54:12","SPO:SPO_377b5950-3885-474c-b026-eb564ab562df@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:Engineering101@M365EDU669627.onmicrosoft.com","6ec0c290-4bb2-4c46-ba72-4a557eb15e23"
"Epic-Dragons-829a","msteams_525515_5e9e4355-2dc5-424e-b0ee-a3554a8c89c4","msteams_525515@M365EDU669627.onmicrosoft.com","GroupMailbox","4","0","0","0","09/07/2025 10:36:09","09/08/2025 05:55:02",,"SPO:SPO_af61a815-a5c3-492a-9806-48ee4f982c54@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_525515@M365EDU669627.onmicrosoft.com","b75d0a39-4be5-49c6-aa38-6f86ca83e1e3"
"Fierce-Falcons-113c","msteams_dac5e8_396f5074-7a2e-423c-96cb-d267426feef0","msteams_dac5e8@M365EDU669627.onmicrosoft.com","GroupMailbox","8","0","0","0","09/07/2025 10:50:02","09/08/2025 03:18:43",,"SPO:SPO_9a3d8efa-d58c-446b-afa4-f2acb0a7feff@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_dac5e8@M365EDU669627.onmicrosoft.com","b028b699-d7c8-435b-b0dd-2a7e4b8f7f05"
"Fierce-Falcons-de05","msteams_d97549_116cef30-89a8-4615-bd13-7c752559d3fd","msteams_d97549@M365EDU669627.onmicrosoft.com","GroupMailbox","4","0","0","0","09/07/2025 10:33:58","09/08/2025 03:07:34",,"SPO:SPO_e5033edf-cec7-48b1-905c-b73f523b8a69@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_d97549@M365EDU669627.onmicrosoft.com","dfec91fa-5743-4425-855e-721f80b6be5d"
"Fierce-Hawks-087e","msteams_3e4a11_16e032a5-97d2-46a1-b772-2b7816dc40b8","msteams_3e4a11@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:49:19","14/08/2025 13:28:13",,"SPO:SPO_1bd87c77-80a4-4f3b-9698-2803cbe4ad01@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_3e4a11@M365EDU669627.onmicrosoft.com","f9a0646f-ce42-4335-a824-3f5115448ee6"
"Fierce-Tigers-0650","msteams_48ca7a_de18259c-a3e3-4c84-9907-2b937a553a61","msteams_48ca7a@M365EDU669627.onmicrosoft.com","GroupMailbox","10","0","0","0","09/07/2025 10:48:21","08/08/2025 15:39:44",,"SPO:SPO_d1a9a5d9-64bb-40f0-a924-9231b98132bc@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_48ca7a@M365EDU669627.onmicrosoft.com","975f432e-2dd0-4015-85b4-6d629e4fc9ef"
"Gentle-Dragons-822a","msteams_0fde10_af40e9ec-20ce-4688-95f5-84378dbff93d","msteams_0fde10@M365EDU669627.onmicrosoft.com","GroupMailbox","8","0","0","0","09/07/2025 10:47:23","09/08/2025 08:13:00",,"SPO:SPO_95866532-c378-48be-921c-fb2f7c3f7868@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_0fde10@M365EDU669627.onmicrosoft.com","a1c491ee-254d-4c9f-b8f6-eaeabb432b12"
"Gentle-Hawks-cb25","msteams_cd24f2_c857d3de-fb10-4813-98cf-84b39bb89673","msteams_cd24f2@M365EDU669627.onmicrosoft.com","GroupMailbox","11","0","0","0","09/07/2025 10:44:54","09/08/2025 03:46:40",,"SPO:SPO_49832c71-a57e-4c79-91e7-70012312bc38@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_cd24f2@M365EDU669627.onmicrosoft.com","1f5e04f0-9a7a-4651-a9ec-c3e9ce3d0663"
"Gentle-Panthers-b866","msteams_e6a2fb_b1514e70-da95-4849-b9d2-7119c64d001c","msteams_e6a2fb@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:39:10","08/08/2025 20:53:43",,"SPO:SPO_2833f112-58d4-4c18-902d-c1de0cfb9078@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_e6a2fb@M365EDU669627.onmicrosoft.com","cd315c70-7e45-4752-803f-d4c6e9c954fb"
"Health Research","HealthResearch_a8f2ae23-d38f-46bd-a12f-e3ec015c03f5","HealthResearch@M365EDU669627.onmicrosoft.com","GroupMailbox","21","2","11","0","24/06/2025 15:43:19","25/07/2025 06:09:21","24/06/2025 16:55:17","SPO:SPO_7f5ba96f-d74f-4dc5-b4fb-8e313870ea7e@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:HealthResearch@M365EDU669627.onmicrosoft.com","2f62d2f2-4c26-4ef3-8fee-43de19088e24"
"Heroic-Sharks-d340","msteams_4b2e62_f6c318b0-bf6c-4bf5-9b6b-b35312e26e80","msteams_4b2e62@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:34:46","11/08/2025 01:54:07",,"SPO:SPO_e40aeca1-3e4a-4941-b38e-002b0bc950a0@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_4b2e62@M365EDU669627.onmicrosoft.com","b9ea2c74-b0ec-449a-aeb0-fbaa8c1d0c42"
"Jolly-Dragons-7fcf","msteams_5befbb_4a3fcc61-a6ac-4282-b810-999d86e6afcb","msteams_5befbb@M365EDU669627.onmicrosoft.com","GroupMailbox","13","0","0","0","09/07/2025 10:46:29","09/08/2025 02:15:57",,"SPO:SPO_f0dd3891-3f4a-4d0b-9658-e3dfaf6d8315@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_5befbb@M365EDU669627.onmicrosoft.com","18533d9e-976f-4951-b5b7-f1901329583f"
"Jolly-Eagles-db34","msteams_eda64e_bde33106-8f73-4b0e-9955-d00f5beaa97f","msteams_eda64e@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:35:30","09/08/2025 09:59:11",,"SPO:SPO_80f1f689-911a-4a1f-b74b-97da9076a9f7@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_eda64e@M365EDU669627.onmicrosoft.com","84a3f540-7407-47d8-bff3-82908c25b193"
"Jolly-Hawks-6652","msteams_7def7f_18acd987-fe52-49f8-8054-35588eb6375c","msteams_7def7f@M365EDU669627.onmicrosoft.com","GroupMailbox","12","0","0","0","09/07/2025 10:51:10","09/08/2025 03:17:33",,"SPO:SPO_22e31ca2-bb0c-4046-85fc-76ecdc3461cb@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_7def7f@M365EDU669627.onmicrosoft.com","dd0a7c3a-f93e-4215-bf12-74badddabb5c"
"Jolly-Panthers-7075","msteams_55bf92_3b62dab7-ce69-44f2-82d8-e711d3e6cc38","msteams_55bf92@M365EDU669627.onmicrosoft.com","GroupMailbox","5","0","0","0","09/07/2025 10:39:39","09/08/2025 06:05:31",,"SPO:SPO_54682501-b265-407d-9e10-82873bcd7e9c@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:msteams_55bf92@M365EDU669627.onmicrosoft.com","bd3f63a9-0035-4b4b-babd-1daca66ba2bb"
"Language Arts","LanguageArts_23ff0c73-9ba3-4f56-9993-2de2f8e5b3f1","LanguageArts@M365EDU669627.onmicrosoft.com","GroupMailbox","12","0","0","0","24/06/2025 15:45:44","25/07/2025 11:00:37",,"SPO:SPO_f6300016-97c4-466e-8767-01ba80792db6@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:LanguageArts@M365EDU669627.onmicrosoft.com","222ebcd9-2d15-4681-ae10-87770c908aab"
"Physical Science","PhysicalScience_ab17bdd1-b8d0-4e54-b185-07485c7fb98e","PhysicalScience@M365EDU669627.onmicrosoft.com","GroupMailbox","49","1","0","0","24/06/2025 15:39:39","25/07/2025 04:18:15","24/06/2025 19:13:25","SPO:SPO_e0d119d1-339e-42e9-99fb-358de8d384a8@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:PhysicalScience@M365EDU669627.onmicrosoft.com","4fc5ab78-0d8c-4c73-9e62-344c8539bcc1"
"Pineview School Staff","PineviewSchoolStaff_909a3b5b-8b75-461a-be94-11e9f2ad9262","PineviewSchoolStaff@M365EDU669627.onmicrosoft.com","GroupMailbox","30","0","14","0","24/06/2025 15:45:08","24/07/2025 21:13:09","24/06/2025 21:01:44","SPO:SPO_945be303-cff1-4af0-9bd3-82fbe52b7697@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:PineviewSchoolStaff@M365EDU669627.onmicrosoft.com","b7f7ca64-f3d7-4bb3-ad24-9e90f089b681"
"Primary K-3","PrimaryK-3_57cf94e8-b005-42a4-8799-209c53018dc5","PrimaryK-3@M365EDU669627.onmicrosoft.com","GroupMailbox","25","0","0","0","24/06/2025 15:46:22","25/07/2025 14:49:47","24/06/2025 21:21:08","SPO:SPO_3467a401-a3ab-40b1-bc59-30a98f08955f@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:PrimaryK-3@M365EDU669627.onmicrosoft.com","65ab3b39-47a0-475c-9621-c8a86a5b296e"
"Science Department (PLC)","ScienceDepartmentPLC_dfe724a4-3e96-4a90-b284-807483e19d7c","ScienceDepartmentPLC@M365EDU669627.onmicrosoft.com","GroupMailbox","15","0","0","0","24/06/2025 15:44:26","25/07/2025 12:17:37","24/06/2025 21:09:28","SPO:SPO_e60b19c1-4f34-46ec-96d9-0c4b87652c00@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:ScienceDepartmentPLC@M365EDU669627.onmicrosoft.com","cb1d39b3-82e2-48de-b502-b0b93215595e"
"Women in Computer Science","WomeninComputerScience_21a40c8c-d7c4-4368-a20c-1d739d19a71b","WomeninComputerScience@M365EDU669627.onmicrosoft.com","GroupMailbox","27","2","0","0","24/06/2025 15:41:35","24/07/2025 16:32:30","24/06/2025 21:23:54","SPO:SPO_cf3e05b9-1be5-456a-815e-a7f5c45b6a4f@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SMTP:WomeninComputerScience@M365EDU669627.onmicrosoft.com","1334607c-7998-45b3-b92e-ecaebf2e48ca"
